Question_Text,Subject_Domain,Topic_Subdomain,Bloom_Taxonomy,Historical_Pass_Rate,Difficulty_Level
Synthesize Probability assuming failure modes.,Mathematics,Probability,Evaluate,40.6,Hard
Compare Thermodynamics in a standard system.,Physics,Thermodynamics,Apply,67.0,Medium
Calculate Algorithms diagrammatically.,Computer Science,Algorithms,Apply,51.8,Medium
Describe Mechanics using an example.,Physics,Mechanics,Apply,66.9,Medium
Define Linear Algebra as defined in the textbook?,Mathematics,Linear Algebra,Remember,83.2,Easy
Hypothesize Thermodynamics with mathematical proofs.,Physics,Thermodynamics,Evaluate,36.6,Hard
Propose a solution for Algorithms with mathematical proofs.,Computer Science,Algorithms,Evaluate,29.5,Hard
Evaluate the limitations of Calculus considering edge cases.,Mathematics,Calculus,Evaluate,28.3,Hard
Evaluate the limitations of Relativity with mathematical proofs.,Physics,Relativity,Evaluate,33.1,Hard
Calculate Mechanics in practice.,Physics,Mechanics,Apply,64.7,Medium
Outline Database in a standard system.,Computer Science,Database,Apply,66.7,Medium
Differentiate between Geometry using an example.,Mathematics,Geometry,Apply,50.6,Medium
Describe Calculus in practice.,Mathematics,Calculus,Apply,50.0,Medium
Illustrate Linear Algebra for a specific case.,Mathematics,Linear Algebra,Apply,62.8,Medium
Illustrate Probability in practice.,Mathematics,Probability,Apply,66.4,Medium
Identify Thermodynamics as defined in the textbook?,Physics,Thermodynamics,Remember,93.7,Easy
List AI as defined in the textbook?,Computer Science,AI,Remember,91.6,Easy
Illustrate Data Structures in practice.,Computer Science,Data Structures,Apply,51.5,Medium
Calculate Thermodynamics using an example.,Physics,Thermodynamics,Apply,50.3,Medium
Name Database,Computer Science,Database,Remember,72.6,Medium
State Probability in simple terms?,Mathematics,Probability,Remember,78.3,Easy
Illustrate Optics diagrammatically.,Physics,Optics,Apply,73.2,Medium
Compare Quantum Physics in practice.,Physics,Quantum Physics,Apply,58.7,Medium
Outline Database using an example.,Computer Science,Database,Apply,51.6,Medium
Critically analyze Relativity in distributed latency environments.,Physics,Relativity,Evaluate,32.8,Hard
Critically analyze Probability considering edge cases.,Mathematics,Probability,Evaluate,34.4,Hard
Derive the formula for Calculus considering edge cases.,Mathematics,Calculus,Evaluate,28.1,Hard
Differentiate between Thermodynamics in practice.,Physics,Thermodynamics,Apply,63.9,Medium
Illustrate Optics diagrammatically.,Physics,Optics,Apply,58.4,Medium
List Thermodynamics according to basic principles?,Physics,Thermodynamics,Remember,85.8,Easy
Compare Mechanics for a specific case.,Physics,Mechanics,Apply,49.3,Medium
Name Calculus as defined in the textbook?,Mathematics,Calculus,Remember,91.8,Easy
Compare Data Structures diagrammatically.,Computer Science,Data Structures,Apply,55.5,Medium
Calculate Quantum Physics in practice.,Physics,Quantum Physics,Apply,53.1,Medium
Explain how Thermodynamics diagrammatically.,Physics,Thermodynamics,Apply,79.3,Easy
Differentiate between Networking for a specific case.,Computer Science,Networking,Apply,70.6,Medium
Critically analyze AI under extreme constraints.,Computer Science,AI,Evaluate,41.5,Hard
Outline Relativity diagrammatically.,Physics,Relativity,Apply,58.5,Medium
Outline Geometry using an example.,Mathematics,Geometry,Apply,50.2,Medium
State Statistics in simple terms?,Mathematics,Statistics,Remember,91.9,Easy
Propose a solution for Quantum Physics with mathematical proofs.,Physics,Quantum Physics,Evaluate,33.0,Hard
Identify Optics as defined in the textbook?,Physics,Optics,Remember,91.8,Easy
State AI according to basic principles?,Computer Science,AI,Remember,89.6,Easy
What is Statistics according to basic principles?,Mathematics,Statistics,Remember,81.3,Easy
Differentiate between Relativity in practice.,Physics,Relativity,Apply,52.2,Medium
Illustrate Statistics in a standard system.,Mathematics,Statistics,Apply,71.2,Medium
Differentiate between Linear Algebra for a specific case.,Mathematics,Linear Algebra,Apply,68.2,Medium
Evaluate the limitations of Optics assuming failure modes.,Physics,Optics,Evaluate,27.3,Hard
Propose a solution for Geometry in distributed latency environments.,Mathematics,Geometry,Evaluate,24.7,Hard
State Mechanics as defined in the textbook?,Physics,Mechanics,Remember,100.0,Easy
Calculate Quantum Physics in practice.,Physics,Quantum Physics,Apply,70.1,Medium
Differentiate between Data Structures in practice.,Computer Science,Data Structures,Apply,77.2,Easy
Propose a solution for AI with mathematical proofs.,Computer Science,AI,Evaluate,28.5,Hard
State Statistics in simple terms?,Mathematics,Statistics,Remember,73.9,Medium
Derive the formula for Statistics in distributed latency environments.,Mathematics,Statistics,Evaluate,28.9,Hard
Hypothesize Quantum Physics under extreme constraints.,Physics,Quantum Physics,Evaluate,44.9,Hard
Explain how Networking in a standard system.,Computer Science,Networking,Apply,47.0,Medium
Derive the formula for Mechanics under extreme constraints.,Physics,Mechanics,Evaluate,24.4,Hard
Hypothesize Algorithms with mathematical proofs.,Computer Science,Algorithms,Evaluate,38.6,Hard
Critically analyze Thermodynamics under extreme constraints.,Physics,Thermodynamics,Evaluate,30.6,Hard
Describe Data Structures using an example.,Computer Science,Data Structures,Apply,63.5,Medium
Propose a solution for Data Structures considering edge cases.,Computer Science,Data Structures,Evaluate,19.1,Hard
Define Database according to basic principles?,Computer Science,Database,Remember,82.1,Easy
Identify Quantum Physics as defined in the textbook?,Physics,Quantum Physics,Remember,98.6,Easy
Propose a solution for Relativity assuming failure modes.,Physics,Relativity,Evaluate,40.1,Hard
Calculate Optics for a specific case.,Physics,Optics,Apply,63.9,Medium
Hypothesize Database with mathematical proofs.,Computer Science,Database,Evaluate,52.4,Medium
What is AI according to basic principles?,Computer Science,AI,Remember,92.7,Easy
State Statistics,Mathematics,Statistics,Remember,82.6,Easy
Calculate Algorithms in practice.,Computer Science,Algorithms,Apply,67.9,Medium
Name Relativity in simple terms?,Physics,Relativity,Remember,76.9,Easy
Illustrate Probability in practice.,Mathematics,Probability,Apply,67.9,Medium
Differentiate between Quantum Physics in practice.,Physics,Quantum Physics,Apply,74.1,Medium
Calculate Quantum Physics using an example.,Physics,Quantum Physics,Apply,61.0,Medium
Propose a solution for Statistics assuming failure modes.,Mathematics,Statistics,Evaluate,21.3,Hard
Propose a solution for Probability under extreme constraints.,Mathematics,Probability,Evaluate,27.9,Hard
Illustrate Database using an example.,Computer Science,Database,Apply,59.4,Medium
Evaluate the limitations of Networking considering edge cases.,Computer Science,Networking,Evaluate,41.2,Hard
Explain how Database using an example.,Computer Science,Database,Apply,56.4,Medium
Hypothesize Optics in distributed latency environments.,Physics,Optics,Evaluate,32.9,Hard
List Data Structures,Computer Science,Data Structures,Remember,83.2,Easy
State Probability as defined in the textbook?,Mathematics,Probability,Remember,82.7,Easy
Hypothesize Optics assuming failure modes.,Physics,Optics,Evaluate,40.3,Hard
Evaluate the limitations of Probability with mathematical proofs.,Mathematics,Probability,Evaluate,25.2,Hard
Propose a solution for Quantum Physics under extreme constraints.,Physics,Quantum Physics,Evaluate,21.4,Hard
Differentiate between Algorithms diagrammatically.,Computer Science,Algorithms,Apply,60.7,Medium
Propose a solution for Data Structures with mathematical proofs.,Computer Science,Data Structures,Evaluate,35.2,Hard
State Thermodynamics according to basic principles?,Physics,Thermodynamics,Remember,83.6,Easy
Identify Quantum Physics,Physics,Quantum Physics,Remember,90.4,Easy
Identify Statistics briefly?,Mathematics,Statistics,Remember,84.5,Easy
Propose a solution for Mechanics in distributed latency environments.,Physics,Mechanics,Evaluate,22.0,Hard
State Mechanics according to basic principles?,Physics,Mechanics,Remember,97.4,Easy
Compare Mechanics for a specific case.,Physics,Mechanics,Apply,73.3,Medium
List AI,Computer Science,AI,Remember,87.3,Easy
Calculate Networking in a standard system.,Computer Science,Networking,Apply,75.9,Easy
What is Calculus briefly?,Mathematics,Calculus,Remember,75.4,Easy
Evaluate the limitations of Data Structures assuming failure modes.,Computer Science,Data Structures,Evaluate,37.0,Hard
Critically analyze Geometry with mathematical proofs.,Mathematics,Geometry,Evaluate,28.8,Hard
Differentiate between Mechanics in practice.,Physics,Mechanics,Apply,62.5,Medium
Illustrate Algorithms in practice.,Computer Science,Algorithms,Apply,62.0,Medium
List Algorithms as defined in the textbook?,Computer Science,Algorithms,Remember,86.4,Easy
State Geometry briefly?,Mathematics,Geometry,Remember,79.7,Easy
Evaluate the limitations of Algorithms in distributed latency environments.,Computer Science,Algorithms,Evaluate,34.0,Hard
Explain how Networking in a standard system.,Computer Science,Networking,Apply,75.5,Easy
List Data Structures according to basic principles?,Computer Science,Data Structures,Remember,82.2,Easy
List Calculus as defined in the textbook?,Mathematics,Calculus,Remember,77.2,Easy
Hypothesize Data Structures assuming failure modes.,Computer Science,Data Structures,Evaluate,36.4,Hard
Evaluate the limitations of Geometry assuming failure modes.,Mathematics,Geometry,Evaluate,42.4,Hard
Differentiate between Statistics in a standard system.,Mathematics,Statistics,Apply,52.5,Medium
Describe Mechanics diagrammatically.,Physics,Mechanics,Apply,58.0,Medium
Evaluate the limitations of Database under extreme constraints.,Computer Science,Database,Evaluate,45.8,Medium
List Quantum Physics briefly?,Physics,Quantum Physics,Remember,80.2,Easy
Outline Networking in practice.,Computer Science,Networking,Apply,65.8,Medium
Evaluate the limitations of AI under extreme constraints.,Computer Science,AI,Evaluate,33.8,Hard
What is Optics in simple terms?,Physics,Optics,Remember,83.1,Easy
Hypothesize Relativity under extreme constraints.,Physics,Relativity,Evaluate,34.2,Hard
Synthesize Calculus considering edge cases.,Mathematics,Calculus,Evaluate,28.4,Hard
Identify Calculus in simple terms?,Mathematics,Calculus,Remember,92.4,Easy
Calculate Mechanics in a standard system.,Physics,Mechanics,Apply,35.5,Hard
Define Linear Algebra,Mathematics,Linear Algebra,Remember,94.4,Easy
Illustrate Statistics for a specific case.,Mathematics,Statistics,Apply,49.3,Medium
Define Database,Computer Science,Database,Remember,78.4,Easy
List Quantum Physics in simple terms?,Physics,Quantum Physics,Remember,89.2,Easy
Name Algorithms in simple terms?,Computer Science,Algorithms,Remember,72.1,Medium
Hypothesize Relativity in distributed latency environments.,Physics,Relativity,Evaluate,35.9,Hard
Derive the formula for Calculus in distributed latency environments.,Mathematics,Calculus,Evaluate,39.5,Hard
Evaluate the limitations of Database with mathematical proofs.,Computer Science,Database,Evaluate,44.3,Hard
Compare Algorithms diagrammatically.,Computer Science,Algorithms,Apply,53.8,Medium
Synthesize AI under extreme constraints.,Computer Science,AI,Evaluate,15.1,Hard
What is Optics according to basic principles?,Physics,Optics,Remember,87.9,Easy
,Computer Science,Networking,Evaluate,48.7,Medium
What is Linear Algebra in simple terms?,Mathematics,Linear Algebra,Remember,87.8,Easy
Which of these is Database according to basic principles?,Computer Science,Database,Remember,89.8,Easy
What is Algorithms according to basic principles?,Computer Science,Algorithms,Remember,76.8,Easy
State Probability according to basic principles?,Mathematics,Probability,Remember,70.3,Medium
Identify AI according to basic principles?,Computer Science,AI,Remember,86.8,Easy
Define Calculus as defined in the textbook?,Mathematics,Calculus,Remember,81.3,Easy
Compare Mechanics in practice.,Physics,Mechanics,Apply,55.4,Medium
Identify Algorithms as defined in the textbook?,Computer Science,Algorithms,Remember,96.9,Easy
State Relativity,Physics,Relativity,Remember,90.0,Easy
Calculate Geometry using an example.,Mathematics,Geometry,Apply,41.7,Hard
Define Optics briefly?,Physics,Optics,Remember,92.8,Easy
What is Linear Algebra,Mathematics,Linear Algebra,Remember,94.4,Easy
Which of these is Calculus as defined in the textbook?,Mathematics,Calculus,Remember,86.0,Easy
Hypothesize Geometry assuming failure modes.,Mathematics,Geometry,Evaluate,36.3,Hard
Which of these is Relativity in simple terms?,Physics,Relativity,Remember,90.9,Easy
Illustrate Relativity for a specific case.,Physics,Relativity,Apply,51.0,Medium
Evaluate the limitations of Calculus assuming failure modes.,Mathematics,Calculus,Evaluate,44.5,Hard
Define Linear Algebra as defined in the textbook?,Mathematics,Linear Algebra,Remember,91.8,Easy
Calculate AI using an example.,Computer Science,AI,Apply,45.8,Medium
Derive the formula for Mechanics in distributed latency environments.,Physics,Mechanics,Evaluate,18.4,Hard
Compare Statistics in practice.,Mathematics,Statistics,Apply,64.6,Medium
Derive the formula for Data Structures in distributed latency environments.,Computer Science,Data Structures,Evaluate,25.1,Hard
Evaluate the limitations of Optics under extreme constraints.,Physics,Optics,Evaluate,31.0,Hard
Derive the formula for Database with mathematical proofs.,Computer Science,Database,Evaluate,31.0,Hard
Outline Data Structures in practice.,Computer Science,Data Structures,Apply,51.3,Medium
Hypothesize Algorithms in distributed latency environments.,Computer Science,Algorithms,Evaluate,43.4,Hard
Illustrate Algorithms in a standard system.,Computer Science,Algorithms,Apply,57.5,Medium
What is Database according to basic principles?,Computer Science,Database,Remember,91.9,Easy
List Probability,Mathematics,Probability,Remember,87.0,Easy
Propose a solution for Relativity considering edge cases.,Physics,Relativity,Evaluate,40.2,Hard
